Fecha,"Compraventas, Venta regional, monto"
01/08/2025,685
01/07/2025,713
01/06/2025,685
01/05/2025,721
01/04/2025,755
01/03/2025,782
01/02/2025,781
01/01/2025,772
01/12/2024,849
01/11/2024,727
01/10/2024,721
01/09/2024,633
01/08/2024,670
01/07/2024,697
01/06/2024,613
01/05/2024,688
01/04/2024,731
01/03/2024,722
01/02/2024,736
01/01/2024,666
01/12/2023,797
01/11/2023,670
01/10/2023,643
01/09/2023,613
01/08/2023,644
01/07/2023,611
01/06/2023,614
01/05/2023,690
01/04/2023,660
01/03/2023,765
01/02/2023,689
01/01/2023,654
01/12/2022,769
01/11/2022,664
01/10/2022,595
01/09/2022,604
01/08/2022,640
01/07/2022,587
01/06/2022,599
01/05/2022,637
01/04/2022,621
01/03/2022,684
01/02/2022,629
01/01/2022,573
01/12/2021,730
01/11/2021,613
01/10/2021,573
01/09/2021,562
01/08/2021,557
01/07/2021,526
01/06/2021,507
01/05/2021,507
01/04/2021,479
01/03/2021,560
01/02/2021,542
01/01/2021,471
01/12/2020,551
01/11/2020,450
01/10/2020,460
01/09/2020,454
01/08/2020,417
01/07/2020,384
01/06/2020,386
01/05/2020,359
01/04/2020,336
01/03/2020,452
01/02/2020,477
01/01/2020,438
01/12/2019,503
01/11/2019,421
01/10/2019,419
01/09/2019,369
01/08/2019,388
01/07/2019,377
01/06/2019,379
01/05/2019,410
01/04/2019,415
01/03/2019,457
01/02/2019,422
01/01/2019,396
01/12/2018,466
01/11/2018,394
01/10/2018,399
01/09/2018,336
01/08/2018,394
01/07/2018,355
01/06/2018,367
01/05/2018,394
01/04/2018,402
01/03/2018,410
01/02/2018,404
01/01/2018,359
