Fecha,"Compraventas, Venta regional, monto"
01/08/2025,1.215
01/07/2025,1.251
01/06/2025,1.202
01/05/2025,1.267
01/04/2025,1.316
01/03/2025,1.301
01/02/2025,1.209
01/01/2025,1.269
01/12/2024,1.467
01/11/2024,1.303
01/10/2024,1.268
01/09/2024,1.106
01/08/2024,1.201
01/07/2024,1.209
01/06/2024,1.120
01/05/2024,1.186
01/04/2024,1.250
01/03/2024,1.202
01/02/2024,1.224
01/01/2024,1.231
01/12/2023,1.385
01/11/2023,1.268
01/10/2023,1.232
01/09/2023,1.122
01/08/2023,1.178
01/07/2023,1.092
01/06/2023,1.177
01/05/2023,1.208
01/04/2023,1.154
01/03/2023,1.272
01/02/2023,1.131
01/01/2023,1.145
01/12/2022,1.379
01/11/2022,1.275
01/10/2022,1.201
01/09/2022,1.168
01/08/2022,1.202
01/07/2022,1.125
01/06/2022,1.081
01/05/2022,1.117
01/04/2022,1.072
01/03/2022,1.148
01/02/2022,1.027
01/01/2022,1.040
01/12/2021,1.239
01/11/2021,1.068
01/10/2021,967
01/09/2021,936
01/08/2021,929
01/07/2021,857
01/06/2021,817
01/05/2021,766
01/04/2021,752
01/03/2021,900
01/02/2021,790
01/01/2021,754
01/12/2020,914
01/11/2020,821
01/10/2020,819
01/09/2020,746
01/08/2020,712
01/07/2020,716
01/06/2020,680
01/05/2020,667
01/04/2020,677
01/03/2020,783
01/02/2020,748
01/01/2020,740
01/12/2019,879
01/11/2019,778
01/10/2019,792
01/09/2019,684
01/08/2019,695
01/07/2019,669
01/06/2019,652
01/05/2019,703
01/04/2019,699
01/03/2019,693
01/02/2019,647
01/01/2019,655
01/12/2018,782
01/11/2018,697
01/10/2018,718
01/09/2018,588
01/08/2018,630
01/07/2018,586
01/06/2018,594
01/05/2018,637
01/04/2018,618
01/03/2018,629
01/02/2018,584
01/01/2018,614
