Fecha,"Compraventas, Venta regional, monto"
01/08/2025,350
01/07/2025,338
01/06/2025,335
01/05/2025,349
01/04/2025,374
01/03/2025,386
01/02/2025,354
01/01/2025,354
01/12/2024,395
01/11/2024,364
01/10/2024,345
01/09/2024,286
01/08/2024,299
01/07/2024,318
01/06/2024,279
01/05/2024,330
01/04/2024,333
01/03/2024,327
01/02/2024,322
01/01/2024,296
01/12/2023,341
01/11/2023,307
01/10/2023,305
01/09/2023,267
01/08/2023,288
01/07/2023,277
01/06/2023,267
01/05/2023,284
01/04/2023,287
01/03/2023,320
01/02/2023,284
01/01/2023,279
01/12/2022,345
01/11/2022,304
01/10/2022,292
01/09/2022,290
01/08/2022,298
01/07/2022,277
01/06/2022,269
01/05/2022,287
01/04/2022,282
01/03/2022,304
01/02/2022,249
01/01/2022,232
01/12/2021,289
01/11/2021,268
01/10/2021,249
01/09/2021,244
01/08/2021,244
01/07/2021,232
01/06/2021,213
01/05/2021,218
01/04/2021,208
01/03/2021,238
01/02/2021,205
01/01/2021,192
01/12/2020,225
01/11/2020,202
01/10/2020,203
01/09/2020,195
01/08/2020,186
01/07/2020,176
01/06/2020,172
01/05/2020,182
01/04/2020,191
01/03/2020,217
01/02/2020,197
01/01/2020,191
01/12/2019,222
01/11/2019,194
01/10/2019,198
01/09/2019,180
01/08/2019,181
01/07/2019,175
01/06/2019,175
01/05/2019,194
01/04/2019,195
01/03/2019,198
01/02/2019,181
01/01/2019,185
01/12/2018,197
01/11/2018,191
01/10/2018,197
01/09/2018,170
01/08/2018,180
01/07/2018,165
01/06/2018,168
01/05/2018,196
01/04/2018,183
01/03/2018,185
01/02/2018,170
01/01/2018,172
