Fecha,"Compraventas, Venta regional, monto"
01/08/2025,25.840
01/07/2025,26.426
01/06/2025,25.165
01/05/2025,24.917
01/04/2025,25.497
01/03/2025,25.587
01/02/2025,22.380
01/01/2025,24.975
01/12/2024,30.743
01/11/2024,25.603
01/10/2024,25.656
01/09/2024,23.331
01/08/2024,24.602
01/07/2024,24.467
01/06/2024,22.763
01/05/2024,23.585
01/04/2024,24.372
01/03/2024,23.692
01/02/2024,22.409
01/01/2024,23.072
01/12/2023,27.665
01/11/2023,24.157
01/10/2023,23.631
01/09/2023,22.396
01/08/2023,23.372
01/07/2023,22.075
01/06/2023,21.876
01/05/2023,22.758
01/04/2023,21.413
01/03/2023,24.959
01/02/2023,20.648
01/01/2023,21.135
01/12/2022,27.734
01/11/2022,24.512
01/10/2022,22.353
01/09/2022,22.492
01/08/2022,23.262
01/07/2022,21.967
01/06/2022,21.335
01/05/2022,22.041
01/04/2022,20.887
01/03/2022,22.696
01/02/2022,18.277
01/01/2022,19.524
01/12/2021,25.536
01/11/2021,21.522
01/10/2021,20.116
01/09/2021,20.089
01/08/2021,19.827
01/07/2021,18.814
01/06/2021,17.908
01/05/2021,16.657
01/04/2021,15.363
01/03/2021,17.353
01/02/2021,14.871
01/01/2021,15.057
01/12/2020,19.378
01/11/2020,16.166
01/10/2020,15.986
01/09/2020,14.997
01/08/2020,14.143
01/07/2020,13.169
01/06/2020,12.848
01/05/2020,12.524
01/04/2020,13.229
01/03/2020,15.677
01/02/2020,14.022
01/01/2020,15.309
01/12/2019,19.497
01/11/2019,15.556
01/10/2019,15.239
01/09/2019,14.487
01/08/2019,15.303
01/07/2019,14.656
01/06/2019,14.741
01/05/2019,14.877
01/04/2019,14.710
01/03/2019,14.927
01/02/2019,12.946
01/01/2019,14.132
01/12/2018,17.362
01/11/2018,15.284
01/10/2018,15.641
01/09/2018,13.298
01/08/2018,14.511
01/07/2018,13.376
01/06/2018,14.079
01/05/2018,14.041
01/04/2018,13.608
01/03/2018,13.983
01/02/2018,11.956
01/01/2018,13.105
